unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
CLE DE PEAU-Micellar Skincare Cleansing Water,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
LAB SERIES-Anti-Age Max LS Lotion,4.3,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
CLINIQUE-Clarifying Lotion 1 - Very Dry To Dry Skin (Limited Edition),4.3,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
SHISEIDO-Waso Fresh Jelly Lotion,4.2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
FOR BELOVED ONE-Melasleep Brightening Lumi's Key Toner,4.2,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
LAB SERIES-Anti-Age Max LS Water Lotion,5.0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
DRGL-Toner Sensitive,3.5,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
DIOR-Prestige La Micro-Lotion De Rose,4.6,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
SATURDAY SKIN-Pore Clarifying Toner,4.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
DIOR-Hydra Life Balancing Hydration 2 In 1 Sorbet Water,3.9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
INNISFREE-Bija Trouble Skin Toner,4.0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
FIRST AID BEAUTY-Ultra Repair Wild Oat Hydrating Toner,4.6,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
GUERLAIN-Abeille Royale Fortifying Lotion,4.3,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
SHISEIDO-Vital-perfection White Revitalizing Softener Enriched,4.3,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
INNISFREE-Green Tea Seed Skin Toner,4.3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
DRGL-Toner Brightening,4.3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
BY TERRY-Baume De Rose Beauty Toner,5.0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
CLE DE PEAU-Essential Refining Essence,2.5,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
LA MER-The Moisturizing Soft Lotion,4.1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
CLINIQUE-Clarifying Lotion 1.0 - Dry And Sensitive Skin,4.3,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
CLE DE PEAU-Hydro-Softening Lotion,4.2,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
DIOR-Diorsnow Essence of Light Brightening Light-Activating Micro-Infused Lotion,4.4,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
OLE HENRIKSEN-Balancing Force Oil Control Toner,4.3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
LANEIGE-Water Bank Blue Hyaluronic Essence Toner - For Combination To Oily Skin,3.0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SULWHASOO-Essential Comfort Balancing Water Toner,4.3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1
SHISEIDO-Future Solution LX Concentrated Balancing Softener,4.3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
DIOR-Hydra Life Deep Hydration Sorbet Water Essence,4.3,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0
EDIBLE BEAUTY-N°2 Citrus Rhapsody Radiance Tonique,4.2,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1
PAI SKINCARE-Living Water Rice Plant & Rosemary Purifying Tonic Lotion,4.3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
EVE LOM-Rescue Peel Pads,5.0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
EVE LOM-Rescue Toner,3.5,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
PIXI-Collagen Tonic,3.8,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
PIXI-Vitamin C Tonic Holiday Edition Brightening Toner (Limited Edition),4.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
PURPOSEFUL SKINCARE BY ALLIES (PSA)-Heroine Mandelic & Licorice Superfood Glow Toner,4.3,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
HERBIVORE BOTANICALS-Jasmine Green Tea Balancing Toner,4.1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SHISEIDO-Vital-perfection White Revitalizing Emulsion,4.3,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
SHISEIDO-Vital-perfection White Revitalizing Emulsion Enriched,4.3,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
