pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id
https://www.sephora.sg/products/fresh-soy-face-cleanser/v/150ml,FRESH,Soy Face Cleanser,63.0,4.4,10760.0,0,FRESH-Soy Face Cleanser
https://www.sephora.sg/products/the-ordinary-squalane-cleanser/v/50ml,THE ORDINARY,Squalane Cleanser,16.0,4.0,916.0,0,THE ORDINARY-Squalane Cleanser
https://www.sephora.sg/products/sephora-collection-cleansing-face-wipe/v/aloe-vera-3378872138839,SEPHORA COLLECTION,Cleansing Face Wipe,13.0,4.1,82.0,SEPHORA EXCLUSIVE,SEPHORA COLLECTION-Cleansing Face Wipe
https://www.sephora.sg/products/farmacy-green-clean-makeup-meltaway-cleansing-balm/v/200ml,FARMACY,Green Clean Makeup Meltaway Cleansing Balm,96.0,4.7,673.0,SEPHORA EXCLUSIVE,FARMACY-Green Clean Makeup Meltaway Cleansing Balm
https://www.sephora.sg/products/sephora-collection-triple-action-cleansing-micellar-water/v/400ml,SEPHORA COLLECTION,Triple Action Cleansing Micellar Water,29.0,4.4,336.0,SEPHORA EXCLUSIVE,SEPHORA COLLECTION-Triple Action Cleansing Micellar Water
https://www.sephora.sg/products/glow-recipe-blueberry-bounce-gentle-cleanser/v/30ml,GLOW RECIPE,Blueberry Bounce Gentle Cleanser,16.0,3.9,1394.0,SEPHORA EXCLUSIVE,GLOW RECIPE-Blueberry Bounce Gentle Cleanser
https://www.sephora.sg/products/tatcha-dewy-cleanse-and-hydrate-duo-christmas-limited-edition,TATCHA,Dewy Cleanse And Hydrate Duo (Christmas Limited Edition),45.0,,,SEPHORA EXCLUSIVE,TATCHA-Dewy Cleanse And Hydrate Duo (Christmas Limited Edition)
https://www.sephora.sg/products/fresh-skincare-prep-essentials-christams-limited-edition,FRESH,Skincare Prep Essentials (Christmas Limited Edition),38.0,5.0,2.0,0,FRESH-Skincare Prep Essentials (Christmas Limited Edition)
https://www.sephora.sg/products/the-inkey-list-oat-cleansing-balm/v/150ml-5060879822221,THE INKEY LIST,Oat Cleansing Balm,20.0,3.8,2214.0,SEPHORA EXCLUSIVE,THE INKEY LIST-Oat Cleansing Balm
https://www.sephora.sg/products/sk-ii-facial-treatment-gentle-cleanser,SK-II,Facial Treatment Gentle Cleanser,99.0,4.6,250.0,0,SK-II-Facial Treatment Gentle Cleanser
https://www.sephora.sg/products/dr-dot-jart-plus-dermaclear-micro-ph-foam-facial-cleanser/v/120ml,DR.JART+,Dermaclear Micro pH Foam Facial Cleanser,29.0,4.4,346.0,SEPHORA EXCLUSIVE,DR.JART+-Dermaclear Micro pH Foam Facial Cleanser
https://www.sephora.sg/products/tatcha-clarifying-cleanse-and-hydrate-duo-christmas-limited-edition,TATCHA,Clarifying Cleanse And Hydrate Duo (Christmas Limited Edition),45.0,,,SEPHORA EXCLUSIVE,TATCHA-Clarifying Cleanse And Hydrate Duo (Christmas Limited Edition)
https://www.sephora.sg/products/tatcha-the-rice-wash-cleanser,TATCHA,The Rice Wash Cleanser,58.0,4.5,2377.0,SEPHORA EXCLUSIVE,TATCHA-The Rice Wash Cleanser
https://www.sephora.sg/products/shu-uemura-anti-slash-oxi-plus-pollutant-and-dullness-clarifying-cleansing-oil/v/450ml,SHU UEMURA,Anti/Oxi+ Pollutant And Dullness Clarifying Cleansing Oil,143.0,4.9,16.0,0,SHU UEMURA-Anti/Oxi+ Pollutant And Dullness Clarifying Cleansing Oil
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58.0,4.8,4.0,0,FRESH-Best Of Beauty Bundle (Christmas Limited Edition)
https://www.sephora.sg/products/fresh-best-selling-duo-christmas-limited-edition,FRESH,Best Selling Duo (Christmas Limited Edition),38.0,,,0,FRESH-Best Selling Duo (Christmas Limited Edition)
https://www.sephora.sg/products/fresh-soy-face-cleanser-limited-edition-42042,FRESH,Soy Face Cleanser (Limited-Edition),81.0,4.8,25.0,0,FRESH-Soy Face Cleanser (Limited-Edition)
https://www.sephora.sg/products/caudalie-vinoclean-instant-foaming-cleanser/v/150ml,CAUDALIE,Vinoclean Instant Foaming Cleanser,37.0,4.3,79.0,SEPHORA EXCLUSIVE,CAUDALIE-Vinoclean Instant Foaming Cleanser
https://www.sephora.sg/products/sulwhasoo-gentle-cleansing-foam,SULWHASOO,Gentle Cleansing Foam,50.0,4.9,28.0,0,SULWHASOO-Gentle Cleansing Foam
https://www.sephora.sg/products/shu-uemura-sailormoon-ultime8-cleansing-oil-christmas-limited-edition/v/450ml,SHU UEMURA,Sailormoon Ultime8 Cleansing Oil (Christmas Limited Edition),168.0,5.0,1.0,0,SHU UEMURA-Sailormoon Ultime8 Cleansing Oil (Christmas Limited Edition)
https://www.sephora.sg/products/the-inkey-list-fulvic-acid-brightening-cleanser,THE INKEY LIST,Fulvic Acid Brightening Cleanser,20.0,4.5,387.0,SEPHORA EXCLUSIVE,THE INKEY LIST-Fulvic Acid Brightening Cleanser
https://www.sephora.sg/products/dr-dennis-gross-alpha-beta-aha-slash-bha-cleansing-gel/v/225ml,DR. DENNIS GROSS,Alpha Beta AHA/BHA Cleansing Gel,61.0,4.2,41.0,SEPHORA EXCLUSIVE,DR. DENNIS GROSS-Alpha Beta AHA/BHA Cleansing Gel
https://www.sephora.sg/products/drunk-elephant-beste-no-9-jelly-cleanser/v/150ml,DRUNK ELEPHANT,Beste™ No. 9 Jelly Cleanser,46.0,4.0,2876.0,SEPHORA EXCLUSIVE,DRUNK ELEPHANT-Beste™ No. 9 Jelly Cleanser
https://www.sephora.sg/products/caudalie-vinopure-purifying-gel-cleanser,CAUDALIE,Vinopure Purifying Gel Cleanser,36.0,4.5,862.0,SEPHORA EXCLUSIVE,CAUDALIE-Vinopure Purifying Gel Cleanser
https://www.sephora.sg/products/sephora-collection-gentle-eye-and-lip-makeup-remover,SEPHORA COLLECTION,Gentle Eye And Lip Makeup Remover,9.0,3.8,43.0,SEPHORA EXCLUSIVE,SEPHORA COLLECTION-Gentle Eye And Lip Makeup Remover
