,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Bar,ClayMud,Cream,Foam,Gel,Liquid,Lotion,Oil,Powder,Wipe,20s,30s,40s,50+,Under20
85,4.2,THIS WORKS-Evening Detox Cleansing Water,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
86,4.3,DR.JART+-Dermaclear Micro Foam Cleanser,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
87,4.4,SHISEIDO-Ultimune Essential Defense Trio,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
88,4.8,SK-II-Facial Treatment Cleansing Gel,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
89,3.8,ESTÉE LAUDER-Advanced Night Micro Cleansing Foam,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
90,4.4,CLINIQUE-All About Clean™ Rinse-Off Foaming Cleanser,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
91,4.4,SEPHORA COLLECTION-Prebiotic Clean Skin Gel Cleanser,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
92,4.4,BIOSSANCE-Squalane + Amino Aloe Gentle Cleanser,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
93,4.4,DIOR-Micellar Water Cleanser,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
94,3.8,ESTÉE LAUDER-Perfectly Clean Multi-Action Creme Cleanser/Moisture Mask,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
95,4.4,OLE HENRIKSEN-Find Your Balance Oil Control Cleanser,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
96,3.7,MARIO BADESCU-Botanical Facial Gel,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
97,3.8,PIXI-PinkSalt Cleansing Oil,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
98,4.4,DIOR-Eye and Lip Makeup Remover,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
99,4.3,PHILOSOPHY-Purity Made Simple One-Step Mattifying Facial Cleanser,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
