,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Foam,Gel,Liquid,Lotion,Oil,20s,30s,40s,50+,Under20
83,4.0,DRGL-Moisturiser All Skin Types,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
84,4.4,SHISEIDO-Future Solution LX Legendary Enmei Ultimate Renewing Cream,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
85,4.4,CLE DE PEAU-The Cream,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
86,2.7,PHILOSOPHY-Ultimate Miracle Worker Night Multi-rejuvenating Nighttime Serum In Cream,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
87,4.3,CLINIQUE-Dramatically Different Hydrating Jelly,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
88,4.4,GIVENCHY-Skin Ressource Protective Moisturising Velvet Cream Refill,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
89,4.3,DIOR-Capture Youth Age-Delay Advanced Crème Moisturiser,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0
90,4.4,DIOR-Prestige La Crème Texture Essentielle,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
91,4.4,LAB SERIES-Daily Rescue Energizing Face Lotion,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
92,5.0,SULWHASOO-Concentrated Ginseng Renewing Cream EX Classic,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
93,5.0,LAB SERIES-All-In-One Face Treatment,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
94,5.0,LAB SERIES-All-In-One Face Treatment,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
95,5.0,SHISEIDO-Treatment Softener Lotion,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
96,5.0,SULWHASOO-Concentrated Ginseng Renewing Cream EX Classic,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
