,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
93,4.2,PIXI-Rose Tonic,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
94,3.3,SUNDAY RILEY-Pink Drink Firming Resurfacing Essence,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
95,3.9,BOSCIA-Resurfacing Treatment Toner,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
96,3.9,MARIO BADESCU-Witch Hazel and Lavender Toner,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
97,3.9,PIXI-Vitamin Wakeup Mist,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
98,4.5,KORA ORGANICS BY MIRANDA KERR-Minty Mineral Hydration Mist,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
99,5.0,DRGL-Toner Oil Control,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
100,4.3,CLE DE PEAU-Micellar Skincare Cleansing Water,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
101,4.3,LAB SERIES-Anti-Age Max LS Lotion,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
102,4.3,CLINIQUE-Clarifying Lotion 1 - Very Dry To Dry Skin (Limited Edition),0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
103,4.2,SHISEIDO-Waso Fresh Jelly Lotion,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
104,4.2,FOR BELOVED ONE-Melasleep Brightening Lumi's Key Toner,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
105,5.0,LAB SERIES-Anti-Age Max LS Water Lotion,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
106,3.5,DRGL-Toner Sensitive,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
107,4.6,DIOR-Prestige La Micro-Lotion De Rose,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
108,4.5,SATURDAY SKIN-Pore Clarifying Toner,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
109,3.9,DIOR-Hydra Life Balancing Hydration 2 In 1 Sorbet Water,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
110,4.0,INNISFREE-Bija Trouble Skin Toner,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
111,4.6,FIRST AID BEAUTY-Ultra Repair Wild Oat Hydrating Toner,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
112,4.3,GUERLAIN-Abeille Royale Fortifying Lotion,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
113,4.3,SHISEIDO-Vital-perfection White Revitalizing Softener Enriched,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
114,4.3,INNISFREE-Green Tea Seed Skin Toner,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
115,4.3,DRGL-Toner Brightening,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
116,5.0,BY TERRY-Baume De Rose Beauty Toner,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
117,2.5,CLE DE PEAU-Essential Refining Essence,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
118,4.1,LA MER-The Moisturizing Soft Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
119,4.3,CLINIQUE-Clarifying Lotion 1.0 - Dry And Sensitive Skin,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
120,4.2,CLE DE PEAU-Hydro-Softening Lotion,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
121,4.4,DIOR-Diorsnow Essence of Light Brightening Light-Activating Micro-Infused Lotion,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
122,4.3,OLE HENRIKSEN-Balancing Force Oil Control Toner,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
123,3.0,LANEIGE-Water Bank Blue Hyaluronic Essence Toner - For Combination To Oily Skin,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
124,4.3,SULWHASOO-Essential Comfort Balancing Water Toner,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1
125,4.3,SHISEIDO-Future Solution LX Concentrated Balancing Softener,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
126,4.3,DIOR-Hydra Life Deep Hydration Sorbet Water Essence,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0
127,4.2,EDIBLE BEAUTY-N°2 Citrus Rhapsody Radiance Tonique,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1
128,4.3,PAI SKINCARE-Living Water Rice Plant & Rosemary Purifying Tonic Lotion,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
